,REVENUE,CROSS_SELL_SUCCESS,NAME,EMAIL,FIRST_NAME,FAMILY_NAME,TOTAL_MEALS_ORDERED,UNIQUE_MEALS_PURCH,CONTACTS_W_CUSTOMER_SERVICE,PRODUCT_CATEGORIES_VIEWED,AVG_TIME_PER_SITE_VISIT,MOBILE_NUMBER,CANCELLATIONS_BEFORE_NOON,CANCELLATIONS_AFTER_NOON,TASTES_AND_PREFERENCES,MOBILE_LOGINS,PC_LOGINS,WEEKLY_PLAN,EARLY_DELIVERIES,LATE_DELIVERIES,PACKAGE_LOCKER,REFRIGERATED_LOCKER,FOLLOWED_RECOMMENDATIONS_PCT,AVG_PREP_VID_TIME,LARGEST_ORDER_SIZE,MASTER_CLASSES_ATTENDED,MEDIAN_MEAL_RATING,AVG_CLICKS_PER_VISIT,TOTAL_PHOTOS_VIEWED,ln_REVENUE,ln_AVG_TIME_PER_SITE_VISIT,ln_AVG_PREP_VID_TIME,ln_TOTAL_MEALS_ORDERED,ln_UNIQUE_MEALS_PURCH,ln_CONTACTS_W_CUSTOMER_SERVICE,ln_WEEKLY_PLAN,ln_TOTAL_PHOTOS_VIEWED
0,1880.0,1,Addam Osgrey,addam.osgrey@passport.com,Addam,Osgrey,118,4,7,5,86.0,1,2,1,0,6,2,8,0,2,1,0,90,165.8,6,1,3,11,0,7.539027055823995,4.454347296253507,5.110782242701195,4.770684624465665,1.3862943611198906,1.9459101490553132,2.0794415416798357,0.0
1,1495.0,1,Aegon Blackfyre,aegon.blackfyre@jnj.com,Aegon,Blackfyre,44,3,6,3,125.6,1,0,1,0,6,1,8,0,4,1,0,90,150.5,4,1,3,13,90,7.3098814858247865,4.833102254034098,5.01396308418893,3.784189633918261,1.0986122886681098,1.791759469228055,2.0794415416798357,4.499809670330265
2,2572.5,1,Aegon Frey (son of Aenys),aegon.frey.(son.of.aenys)@gmail.com,Aegon,Frey ,38,1,5,3,58.0,1,5,0,1,6,2,14,0,0,0,0,80,99.6,3,0,3,12,0,7.852633467708205,4.060443010546419,4.601162164590552,3.6375861597263857,0.0,1.6094379124341003,2.6390573296152584,0.0
3,1647.0,1,Aegon Targaryen (son of Rhaegar),aegon.targaryen.(son.of.rhaegar)@ibm.com,Aegon,Targaryen ,76,3,8,10,45.51,0,3,0,1,6,1,11,5,4,0,0,90,125.0,3,0,3,13,0,7.4067107301776405,3.8179320820285505,4.8283137373023015,4.330733340286331,1.0986122886681098,2.0794415416798357,2.3978952727983707,0.0
4,1923.0,1,Aegon V Targaryen,aegon.v.targaryen@goldmansacs.com,Aegon,V Targaryen,65,3,6,9,106.0,1,1,1,0,6,2,12,0,4,1,0,90,135.3,3,1,3,13,253,7.56164174558878,4.663439094112067,4.907494535176743,4.174387269895637,1.0986122886681098,1.791759469228055,2.4849066497880004,5.53338948872752
5,1250.0,1,Aegor Rivers,aegor.rivers@gmail.com,Aegor,Rivers,57,4,6,2,84.21,1,0,0,1,5,1,10,2,5,0,0,70,91.2,3,1,2,17,0,7.1308988302963465,4.433313679041901,4.513054897080286,4.04305126783455,1.3862943611198906,1.791759469228055,2.302585092994046,0.0
6,4665.0,1,Aelinor Penrose,aelinor.penrose@homedepot.com,Aelinor,Penrose,106,3,10,8,110.0,1,3,0,0,6,2,7,0,3,0,0,70,263.3,6,2,4,10,705,8.447843113281444,4.700480365792417,5.573294066502264,4.663439094112067,1.0986122886681098,2.302585092994046,1.9459101490553132,6.558197802812269
7,1690.0,1,Aemma Arryn,aemma.arryn@yahoo.com,Aemma,Arryn,122,6,8,10,92.73,1,1,0,1,5,1,8,0,3,0,0,70,160.0,5,1,3,13,0,7.432483807917119,4.529692044812134,5.075173815233827,4.804021044733257,1.791759469228055,2.0794415416798357,2.0794415416798357,0.0
8,1710.0,1,Aemon Rivers,aemon.rivers@caterpillar.com,Aemon,Rivers,46,4,5,10,170.47,1,0,0,1,6,2,8,4,10,1,1,70,170.1,4,2,3,12,0,7.444248649496705,5.138559328162834,5.136386499401816,3.828641396489095,1.3862943611198906,1.6094379124341003,2.0794415416798357,0.0
9,1770.0,1,Aggar,aggar@protonmail.com,Aggar,Aggar,58,4,6,5,79.58,1,0,1,1,6,2,2,3,7,1,1,90,191.3,7,1,3,12,0,7.478734825567875,4.376762804998783,5.253842876446207,4.060443010546419,1.3862943611198906,1.791759469228055,0.6931471805599453,0.0
